"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
297,"DSS in Given Year","45-64","Parent SES","Parent 2 income bands","Q:$150,001 or More",12,"NULL",2021,NA
298,"DSS in past","19-44","Parent SES","Parent 2 income bands","H:$20,001-$25,000",786,"NULL",2021,NA
299,"DSS in past","19-44","Parent SES","Parent 2 income bands","J:$30,001-$35,000",330,"NULL",2021,NA
300,"DSS in past","19-44","Parent SES","Parent 2 income bands","O:$70,001-$100,000",1278,"NULL",2021,NA
301,"DSS in past","45-64","Parent SES","Parent 2 income bands","J:$30,001-$35,000",27,"NULL",2021,NA
302,"Non-DSS disabled","03-18","Parent SES","Parent 2 income bands","E:$5,001-$10,000",114,"NULL",2021,NA
303,"Non-DSS disabled","03-18","Parent SES","Parent 2 income bands","M:$50,001-$60,000",864,"NULL",2021,NA
304,"Non-DSS disabled","19-44","Parent SES","Parent 2 income bands","H:$20,001-$25,000",1833,"NULL",2021,NA
305,"Non-DSS disabled","19-44","Parent SES","Parent 2 income bands","J:$30,001-$35,000",741,"NULL",2021,NA
306,"Non-DSS disabled","19-44","Parent SES","Parent 2 income bands","O:$70,001-$100,000",3102,"NULL",2021,NA
307,"Rest of pop","19-44","Parent SES","Parent 2 income bands","B:Loss",3627,"NULL",2021,NA
308,"Rest of pop","19-44","Parent SES","Parent 2 income bands","H:$20,001-$25,000",76665,"NULL",2021,NA
309,"Rest of pop","19-44","Parent SES","Parent 2 income bands","J:$30,001-$35,000",31347,"NULL",2021,NA
310,"Rest of pop","19-44","Parent SES","Parent 2 income bands","O:$70,001-$100,000",137604,"NULL",2021,NA
311,"Rest of pop","45-64","Parent SES","Parent 2 income bands","J:$30,001-$35,000",2856,"NULL",2021,NA
312,"Rest of pop","45-64","Parent SES","Parent 2 income bands","Q:$150,001 or More",1008,"NULL",2021,NA
313,"DSS in past","19-44","Parent SES","Parent 1 total income","NULL",12174,"366792361.06999999",2021,NA
314,"DSS in past","45-64","Parent SES","Parent 1 total income","NULL",7701,"9375058.3000000007",2021,NA
315,"DSS in past","19-44","Parent SES","Parent 2 total income","NULL",12174,"501309225.04000002",2021,NA
316,"DSS in past","45-64","Parent SES","Parent 2 total income","NULL",7701,"8563547",2021,NA
317,"Non-DSS disabled","65+","Demographics","Male","0",44208,"NULL",2021,NA
318,"Non-DSS disabled","65+","Demographics","Ethnicity - European","0",14187,"NULL",2021,NA
319,"Non-DSS disabled","65+","Demographics","Ethnicity - Maori","0",73239,"NULL",2021,NA
320,"Non-DSS disabled","65+","Demographics","Ethnicity - Pacific","0",77499,"NULL",2021,NA
321,"Non-DSS disabled","65+","Demographics","Ethnicity - Asian","0",75528,"NULL",2021,NA
322,"Non-DSS disabled","65+","Demographics","Ethnicity - MELAA","0",80748,"NULL",2021,NA
323,"Non-DSS disabled","65+","Demographics","Ethnicity - Other","0",79470,"NULL",2021,NA
324,"DSS in Given Year","03-18","Demographics","Regional Council","15",318,"NULL",2021,NA
325,"DSS in Given Year","03-18","Demographics","Regional Council","18",111,"NULL",2021,NA
326,"DSS in Given Year","19-44","Demographics","Regional Council","14",579,"NULL",2021,NA
327,"DSS in Given Year","19-44","Demographics","Regional Council","17",180,"NULL",2021,NA
328,"DSS in Given Year","45-64","Demographics","Regional Council","3",918,"NULL",2021,NA
329,"DSS in Given Year","45-64","Demographics","Regional Council","6",318,"NULL",2021,NA
330,"DSS in Given Year","45-64","Demographics","Regional Council","9",840,"NULL",2021,NA
331,"DSS in Given Year","45-64","Demographics","Regional Council","12",96,"NULL",2021,NA
332,"DSS in Given Year","65+","Demographics","Regional Council","14",261,"NULL",2021,NA
333,"DSS in Given Year","65+","Demographics","Regional Council","17",114,"NULL",2021,NA
334,"DSS in past","03-18","Demographics","Regional Council","14",300,"NULL",2021,NA
335,"DSS in past","03-18","Demographics","Regional Council","17",96,"NULL",2021,NA
336,"DSS in past","19-44","Demographics","Regional Council","3",1275,"NULL",2021,NA
337,"DSS in past","19-44","Demographics","Regional Council","6",420,"NULL",2021,NA
338,"DSS in past","19-44","Demographics","Regional Council","9",1104,"NULL",2021,NA
339,"DSS in past","19-44","Demographics","Regional Council","12",99,"NULL",2021,NA
340,"DSS in past","19-44","Demographics","Regional Council","99",0,"NULL",2021,NA
341,"DSS in past","45-64","Demographics","Regional Council","14",381,"NULL",2021,NA
342,"DSS in past","45-64","Demographics","Regional Council","17",120,"NULL",2021,NA
343,"DSS in past","65+","Demographics","Regional Council","13",627,"NULL",2021,NA
344,"DSS in past","65+","Demographics","Regional Council","16",96,"NULL",2021,NA
345,"Non-DSS disabled","03-18","Demographics","Regional Council","4",654,"NULL",2021,NA
346,"Non-DSS disabled","03-18","Demographics","Regional Council","7",312,"NULL",2021,NA
347,"Non-DSS disabled","03-18","Demographics","Regional Council","13",1263,"NULL",2021,NA
348,"Non-DSS disabled","19-44","Demographics","Regional Council","NULL",0,"NULL",2021,NA
349,"Non-DSS disabled","19-44","Demographics","Regional Council","2",9546,"NULL",2021,NA
350,"Non-DSS disabled","45-64","Demographics","Regional Council","8",3123,"NULL",2021,NA
351,"Non-DSS disabled","45-64","Demographics","Regional Council","14",2097,"NULL",2021,NA
352,"Non-DSS disabled","65+","Demographics","Regional Council","3",8418,"NULL",2021,NA
353,"Non-DSS disabled","65+","Demographics","Regional Council","6",3717,"NULL",2021,NA
354,"Non-DSS disabled","65+","Demographics","Regional Council","9",7893,"NULL",2021,NA
355,"Non-DSS disabled","65+","Demographics","Regional Council","99",12,"NULL",2021,NA
356,"Rest of pop","03-18","Demographics","Regional Council","17",9660,"NULL",2021,NA
357,"Rest of pop","19-44","Demographics","Regional Council","6",52743,"NULL",2021,NA
358,"Rest of pop","19-44","Demographics","Regional Council","9",190068,"NULL",2021,NA
359,"Rest of pop","19-44","Demographics","Regional Council","12",8442,"NULL",2021,NA
360,"Rest of pop","19-44","Demographics","Regional Council","15",30813,"NULL",2021,NA
361,"Rest of pop","19-44","Demographics","Regional Council","99",138,"NULL",2021,NA
362,"Rest of pop","45-64","Demographics","Regional Council","14",56064,"NULL",2021,NA
363,"Rest of pop","45-64","Demographics","Regional Council","17",13998,"NULL",2021,NA
364,"Rest of pop","65+","Demographics","Regional Council","13",95235,"NULL",2021,NA
365,"Rest of pop","65+","Demographics","Regional Council","16",11079,"NULL",2021,NA
366,"DSS in Given Year","03-18","Demographics","Urban/rural","Medium urban area",1584,"NULL",2021,NA
367,"DSS in Given Year","03-18","Demographics","Urban/rural","Rural settlement",507,"NULL",2021,NA
368,"DSS in Given Year","45-64","Demographics","Urban/rural","Large urban area",1845,"NULL",2021,NA
369,"DSS in Given Year","65+","Demographics","Urban/rural","Small urban area",468,"NULL",2021,NA
370,"DSS in past","03-18","Demographics","Urban/rural","Rural other",891,"NULL",2021,NA
371,"DSS in past","19-44","Demographics","Urban/rural","Large urban area",2076,"NULL",2021,NA
372,"DSS in past","45-64","Demographics","Urban/rural","Small urban area",978,"NULL",2021,NA
373,"Non-DSS disabled","03-18","Demographics","Urban/rural","Rural other",1221,"NULL",2021,NA
374,"Non-DSS disabled","03-18","Demographics","Urban/rural","Small urban area",1209,"NULL",2021,NA
375,"Rest of pop","03-18","Demographics","Urban/rural","Rural other",133290,"NULL",2021,NA
376,"Rest of pop","19-44","Demographics","Urban/rural","Inland water",0,"NULL",2021,NA
377,"Rest of pop","19-44","Demographics","Urban/rural","Large urban area",224757,"NULL",2021,NA
378,"Rest of pop","45-64","Demographics","Urban/rural","Oceanic",0,"NULL",2021,NA
379,"Rest of pop","45-64","Demographics","Urban/rural","Small urban area",126249,"NULL",2021,NA
380,"DSS in Given Year","45-64","Need","WGSS - Communication","3",1227,"NULL",2021,NA
381,"DSS in past","19-44","Need","WGSS - Communication","3",477,"NULL",2021,NA
382,"Non-DSS disabled","03-18","Need","WGSS - Communication","4",774,"NULL",2021,NA
383,"Non-DSS disabled","19-44","Need","WGSS - Communication","2",5646,"NULL",2021,NA
384,"Non-DSS disabled","65+","Need","WGSS - Communication","3",4959,"NULL",2021,NA
385,"DSS in Given Year","45-64","Need","WGSS - Walking","3",1734,"NULL",2021,NA
386,"DSS in past","19-44","Need","WGSS - Walking","3",360,"NULL",2021,NA
387,"Non-DSS disabled","03-18","Need","WGSS - Walking","4",804,"NULL",2021,NA
388,"Non-DSS disabled","19-44","Need","WGSS - Walking","2",4755,"NULL",2021,NA
389,"Non-DSS disabled","65+","Need","WGSS - Walking","3",41427,"NULL",2021,NA
390,"DSS in Given Year","45-64","Need","WGSS - Seeing","3",711,"NULL",2021,NA
391,"DSS in past","19-44","Need","WGSS - Seeing","3",318,"NULL",2021,NA
392,"Non-DSS disabled","03-18","Need","WGSS - Seeing","4",894,"NULL",2021,NA
393,"Non-DSS disabled","19-44","Need","WGSS - Seeing","2",6723,"NULL",2021,NA
394,"Non-DSS disabled","65+","Need","WGSS - Seeing","3",15882,"NULL",2021,NA
395,"DSS in Given Year","45-64","Need","WGSS - Hearing","3",372,"NULL",2021,NA
396,"DSS in past","19-44","Need","WGSS - Hearing","3",213,"NULL",2021,NA
397,"Non-DSS disabled","03-18","Need","WGSS - Hearing","4",855,"NULL",2021,NA
398,"Non-DSS disabled","19-44","Need","WGSS - Hearing","2",5112,"NULL",2021,NA
399,"Non-DSS disabled","65+","Need","WGSS - Hearing","3",25581,"NULL",2021,NA
400,"DSS in Given Year","45-64","Need","WGSS - Remembering","3",1464,"NULL",2021,NA
401,"DSS in past","19-44","Need","WGSS - Remembering","3",852,"NULL",2021,NA
402,"Non-DSS disabled","03-18","Need","WGSS - Remembering","4",777,"NULL",2021,NA
403,"Non-DSS disabled","19-44","Need","WGSS - Remembering","2",6216,"NULL",2021,NA
404,"Non-DSS disabled","65+","Need","WGSS - Remembering","3",14532,"NULL",2021,NA
405,"DSS in Given Year","45-64","Need","WGSS - Washing","3",1047,"NULL",2021,NA
406,"DSS in past","19-44","Need","WGSS - Washing","3",153,"NULL",2021,NA
407,"Non-DSS disabled","03-18","Need","WGSS - Washing","4",1380,"NULL",2021,NA
408,"Non-DSS disabled","19-44","Need","WGSS - Washing","2",3090,"NULL",2021,NA
409,"Non-DSS disabled","65+","Need","WGSS - Washing","3",7974,"NULL",2021,NA
410,"Non-DSS disabled","65+","Need","Autism Spectrum Disorder","0",81234,"NULL",2021,NA
411,"Non-DSS disabled","65+","Need","Developmental Delay","0",81078,"NULL",2021,NA
412,"DSS in Given Year","45-64","Need","Stroke","3",1209,"NULL",2021,NA
413,"DSS in past","19-44","Need","Stroke","3",255,"NULL",2021,NA
414,"Non-DSS disabled","19-44","Need","Stroke","2",9,"NULL",2021,NA
415,"Non-DSS disabled","65+","Need","Stroke","0",73170,"NULL",2021,NA
416,"Non-DSS disabled","65+","Need","Stroke","3",7278,"NULL",2021,NA
417,"Non-DSS disabled","65+","Need","ADHD","0",75660,"NULL",2021,NA
418,"Non-DSS disabled","65+","Need","Cerebral Palsy","0",81186,"NULL",2021,NA
419,"Non-DSS disabled","65+","Need","Down Syndrome","0",81213,"NULL",2021,NA
420,"Non-DSS disabled","65+","Need","Osteoarthritis","0",78981,"NULL",2021,NA
421,"Non-DSS disabled","65+","Need","Generalised Anxiety Disorder","0",81081,"NULL",2021,NA
422,"Non-DSS disabled","65+","Need","Multiple Sclerosis","0",81174,"NULL",2021,NA
423,"Non-DSS disabled","65+","Need","Major Depressive Disorder","0",76095,"NULL",2021,NA
424,"Non-DSS disabled","65+","Need","Schizophrenia","0",80874,"NULL",2021,NA
425,"Non-DSS disabled","65+","Need","Motor Neuron Disease","0",81228,"NULL",2021,NA
426,"Non-DSS disabled","65+","Need","Spina Bifida","0",81240,"NULL",2021,NA
427,"Non-DSS disabled","65+","Need","Muscular Dystrophy","0",81228,"NULL",2021,NA
428,"Non-DSS disabled","65+","Need","Bipolar","0",80556,"NULL",2021,NA
429,"Non-DSS disabled","65+","Need","Ataxia","0",81234,"NULL",2021,NA
430,"Non-DSS disabled","65+","Need","Huntingtons","0",81237,"NULL",2021,NA
431,"Non-DSS disabled","65+","Need","Fragile X","0",81246,"NULL",2021,NA
432,"Non-DSS disabled","65+","Need","Polio","0",81243,"NULL",2021,NA
433,"Non-DSS disabled","65+","Need","Klinefelters Syndrome","0",81246,"NULL",2021,NA
434,"Non-DSS disabled","65+","Need","Intellectual Disability","0",80859,"NULL",2021,NA
435,"Non-DSS disabled","65+","Need","Deaf or nearly deaf","0",81207,"NULL",2021,NA
436,"Non-DSS disabled","65+","Need","Blind or nearly blind","0",80742,"NULL",2021,NA
437,"Non-DSS disabled","65+","Need","Incontinence (faecal/urinary)","0",69804,"NULL",2021,NA
438,"Non-DSS disabled","65+","Need","Amputation of hand/arm","0",81225,"NULL",2021,NA
439,"Non-DSS disabled","65+","Need","ACC - Case management","0",75843,"NULL",2021,NA
440,"Non-DSS disabled","65+","Need","ACC - Workers Compensation","0",81099,"NULL",2021,NA
441,"Non-DSS disabled","65+","Need","ACC - Serious injury","0",81120,"NULL",2021,NA
442,"Non-DSS disabled","65+","Need","ACC - Sensitive claim","0",81147,"NULL",2021,NA
443,"Non-DSS disabled","65+","Socio-economic background","Receiving main benefit","0",19578,"NULL",2021,NA
444,"DSS in Given Year","45-64","Socio-economic background","NZDep","3",570,"NULL",2021,NA
445,"DSS in Given Year","45-64","Socio-economic background","NZDep","6",828,"NULL",2021,NA
446,"DSS in Given Year","45-64","Socio-economic background","NZDep","9",1464,"NULL",2021,NA
447,"DSS in past","19-44","Socio-economic background","NZDep","3",783,"NULL",2021,NA
448,"DSS in past","19-44","Socio-economic background","NZDep","6",1011,"NULL",2021,NA
449,"DSS in past","19-44","Socio-economic background","NZDep","9",1698,"NULL",2021,NA
450,"Non-DSS disabled","03-18","Socio-economic background","NZDep","4",849,"NULL",2021,NA
451,"Non-DSS disabled","03-18","Socio-economic background","NZDep","7",1134,"NULL",2021,NA
452,"Non-DSS disabled","03-18","Socio-economic background","NZDep","10",2148,"NULL",2021,NA
453,"Non-DSS disabled","19-44","Socio-economic background","NZDep","NULL",21,"NULL",2021,NA
454,"Non-DSS disabled","19-44","Socio-economic background","NZDep","2",1986,"NULL",2021,NA
455,"Non-DSS disabled","45-64","Socio-economic background","NZDep","8",5418,"NULL",2021,NA
456,"Non-DSS disabled","65+","Socio-economic background","NZDep","3",7191,"NULL",2021,NA
457,"Non-DSS disabled","65+","Socio-economic background","NZDep","6",8610,"NULL",2021,NA
458,"Non-DSS disabled","65+","Socio-economic background","NZDep","9",10104,"NULL",2021,NA
459,"Rest of pop","19-44","Socio-economic background","NZDep","6",147633,"NULL",2021,NA
460,"Rest of pop","19-44","Socio-economic background","NZDep","9",161232,"NULL",2021,NA
461,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","3",672,"NULL",2021,NA
462,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","6",219,"NULL",2021,NA
463,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","9",87,"NULL",2021,NA
464,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","3",2958,"NULL",2021,NA
465,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","6",255,"NULL",2021,NA
466,"DSS in past","19-44","Socio-economic background","Highest qualification (NQF)","9",87,"NULL",2021,NA
467,"Non-DSS disabled","03-18","Socio-economic background","Highest qualification (NQF)","4",39,"NULL",2021,NA
468,"Non-DSS disabled","03-18","Socio-economic background","Highest qualification (NQF)","7",0,"NULL",2021,NA
469,"Non-DSS disabled","19-44","Socio-economic background","Highest qualification (NQF)","NULL",129,"NULL",2021,NA
470,"Non-DSS disabled","19-44","Socio-economic background","Highest qualification (NQF)","2",3510,"NULL",2021,NA
471,"Non-DSS disabled","45-64","Socio-economic background","Highest qualification (NQF)","8",1542,"NULL",2021,NA
472,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","0",27993,"NULL",2021,NA
473,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","3",5439,"NULL",2021,NA
474,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","6",5115,"NULL",2021,NA
475,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","9",1197,"NULL",2021,NA
476,"Rest of pop","19-44","Socio-economic background","Highest qualification (NQF)","6",59031,"NULL",2021,NA
477,"Rest of pop","19-44","Socio-economic background","Highest qualification (NQF)","9",64551,"NULL",2021,NA
478,"Non-DSS disabled","65+","Socio-economic background","Total income","NULL",81246,"2639231614.96",2021,NA
479,"Non-DSS disabled","65+","Socio-economic background","Receipt of wages/salary","0",74925,"NULL",2021,NA
480,"DSS in Given Year","03-18","Socio-economic background","Income bands","A:NULL",13533,"NULL",2021,NA
481,"DSS in Given Year","03-18","Socio-economic background","Income bands","G:$15,001-$20,000",597,"NULL",2021,NA
482,"DSS in Given Year","03-18","Socio-economic background","Income bands","I:$25,001-$30,000",30,"NULL",2021,NA
483,"DSS in Given Year","03-18","Socio-economic background","Income bands","J:$30,001-$35,000",12,"NULL",2021,NA
484,"DSS in Given Year","03-18","Socio-economic background","Income bands","M:$50,001-$60,000",0,"NULL",2021,NA
485,"DSS in Given Year","19-44","Socio-economic background","Income bands","B:Loss",0,"NULL",2021,NA
486,"DSS in Given Year","19-44","Socio-economic background","Income bands","O:$70,001-$100,000",48,"NULL",2021,NA
487,"DSS in past","03-18","Socio-economic background","Income bands","E:$5,001-$10,000",192,"NULL",2021,NA
488,"DSS in past","03-18","Socio-economic background","Income bands","H:$20,001-$25,000",57,"NULL",2021,NA
489,"DSS in past","03-18","Socio-economic background","Income bands","N:$60,001-$70,000",0,"NULL",2021,NA
490,"DSS in past","65+","Socio-economic background","Income bands","L:$40,001-$50,000",162,"NULL",2021,NA
491,"DSS in past","65+","Socio-economic background","Income bands","Q:$150,001 or More",15,"NULL",2021,NA
492,"Non-DSS disabled","03-18","Socio-economic background","Income bands","F:$10,001-$15,000",330,"NULL",2021,NA
